医疗卫生水平_省份,医疗卫生水平_代码,医疗卫生水平_年份,医疗设施_三甲医院数/个,医疗设施_基层医疗卫生机构数/个,医疗设施_专业公共卫生机构/个,医疗设施_医疗卫生机构床位数/张,医疗人才_执业医师数/人,医疗人才_注册护士数/人,医疗人才_药师数/人,医疗收支_医疗卫生机构事业收入/亿元,医疗收支_医疗卫生机构业务成本/亿元,医疗服务_诊疗人次数/万人次,医疗服务_急诊病死率%,医疗服务_入院人数/万人,医疗服务_住院病死率%,医疗保障_人均卫生费用/元,医疗保障_城乡居民医疗保健支出占消费性支出
安徽,1,2012,30,21812,446,222315,71181,95046,11817,517.1,446,23491.54,0.08,711.65,0.23,1857.08,7.43
安徽,1,2013,32,21872,1748,235959,75936,103404,12276,596.46,530.87,25474.34,0.08,762.58,0.26,2025.71,8.04
安徽,1,2014,41,22014,1755,252044,80525,111497,12909,686.31,601.87,26282.04,0.08,821.36,0.3,2172.67,6.46
安徽,1,2015,41,22030,1721,267405,84620,119303,13456,741.32,682.15,26124,0.07,842.99,0.3,2376.98,7.29
安徽,1,2016,41,22271,983,281720,90089,126350,13875,812.23,755.93,26300.19,0.08,897.32,0.3,2652.17,7.18
安徽,1,2017,43,22635,666,305746,97680,138139,14460,917.03,861.67,28012.23,0.07,996.09,0.3,2897.37,7.36
安徽,1,2018,46,23076,604,328123,103628,149723,15000,1030.85,991.48,29701.92,0.07,1011.06,0.3,3159.72,7.16
安徽,1,2019,50,24558,544,347395,113502,163390,15700,1187.64,1304.4,33315.93,0.06,1035.89,0.3,3518.93,7.78
安徽,1,2020,52,27400,481,407813,133307,188182,16662,1232.48,1385.96,34606.55,0.07,950.17,0.35,3995.66,8.4
安徽,1,2021,53,27629,466,411023,140783,200950,17098,1369.94,1571.86,36406.08,0.07,949.32,0.38,4472.39,9.01
安徽,1,2022,54,27858,451,414233,148259,213718,17534,1507.4,1757.76,37205.61,0.07,948.47,0.41,4949.12,9.63
安徽,1,2023,59,29340,484,454000,155735,221000,17970,1644.86,1943.66,38905.14,0.07,947.62,0.44,5425.85,10.25
安徽,1,2024,64,30822,517,493767,163211,228282,18406,1782.32,2129.56,40304.67,0.07,946.77,0.47,5902.58,10.87
北京,2,2012,37,8837,118,100167,69810,79534,11578,943.33,866.12,18529.75,0.08,225.01,1.28,5750.79,7.74
北京,2,2013,44,8857,118,104011,72489,83879,12125,1093.61,1016.7,20466.38,0.08,246.31,1.2,6337.38,7.75
北京,2,2014,45,8802,117,109811,75299,88488,12744,1229.07,1162.89,21359.92,0.07,269.81,1.1,7411.41,7.24
北京,2,2015,53,8912,113,111555,80410,94626,13206,1354.88,1303.95,21780.33,0.08,276.38,1,8453.14,6.49
北京,2,2016,54,8908,112,117041,84276,98082,13682,1524.25,1486.43,23204.97,0.09,311.89,1.1,9429.73,7.06
北京,2,2017,55,9090,110,120645,88934,103459,14082,1691.6,1676.51,22468.66,0.09,328.65,1,10106.42,7.15
北京,2,2018,55,9172,110,123626,93587,107351,14389,1907.85,1883.36,23515.8,0.1,353.6,1,11609.06,8.09
北京,2,2019,58,9416,108,127777,99240,114891,15099,2155.21,2466.34,24886.39,0.1,384.86,1,13766.77,9.12
北京,2,2020,55,9675,105,127033,101061,117944,15146,1794.45,2249.27,18228.88,0.16,253.77,1.27,13834.01,10.14
北京,2,2021,56,9777,101,130259,105757,124086,15515,2328.33,2725.47,22747.57,0.13,367.67,1,13901.25,11.16
北京,2,2022,57,9879,97,133485,110453,130228,15884,2862.2,3201.66,22266.26,0.1,481.56,0.73,13968.49,12.19
北京,2,2023,58,9981,93,136711,115149,136370,16253,3396.07,3677.85,27584.95,0.07,595.45,0.46,14035.73,13.22
北京,2,2024,59,10083,89,139937,119845,142512,16622,3929.94,4154.04,29103.64,0.04,709.34,0.19,14102.97,14.25
福建,3,2012,27,26374,307,139341,57885,71124,11767,429.32,387.42,19203.12,0.03,510.16,0.12,1809.51,4.72
福建,3,2013,27,26151,1406,156149,61939,79929,13323,498.54,453.39,20395.63,0.03,527.67,0.11,2213.36,4.44
