卫生资源配置_省份,卫生资源配置_代码,卫生资源配置_年份,物力资源_基层医疗卫生机构数/个,物力资源_专业公共卫生机构/个,物力资源_医疗卫生机构数量/个,物力资源_医疗卫生机构床位数/张,人才资源_执业医师数/人,人才资源_注册护士数/人,人才资源_卫生人员数/万人,财力投入_医疗卫生机构事业收入/亿元,财力投入_人均卫生费用/元,服务能力_诊疗人次数/万人次,服务能力_入院人数/万人,服务能力_城乡居民医疗保健支出占消费性支出
安徽,1,2012,21812,446,23275,222315,71181,95046,33.48,517.1,1857.08,23491.54,711.65,7.43
安徽,1,2013,21872,1748,24645,235959,75936,103404,35.38,596.46,2025.71,25474.34,762.58,8.04
安徽,1,2014,22014,1755,24824,252044,80525,111497,36.57,686.31,2172.67,26282.04,821.36,6.46
安徽,1,2015,22030,1721,24853,267405,84620,119303,37.74,741.32,2376.98,26124,842.99,7.29
安徽,1,2016,22271,983,24385,281720,90089,126350,38.82,812.23,2652.17,26300.19,897.32,7.18
安徽,1,2017,22635,666,24491,305746,97680,138139,40.75,917.03,2897.37,28012.23,996.09,7.36
安徽,1,2018,23076,604,24925,328123,103628,149723,42.7,1030.85,3159.72,29701.92,1011.06,7.16
安徽,1,2019,24558,544,26435,347395,113502,163390,45.46,1187.64,3518.93,33315.93,1035.89,7.78
安徽,1,2020,27400,481,29391,407813,133307,188182,50.32,1232.48,3995.66,34606.55,950.17,8.4
安徽,1,2021,27629,466,29554,411023,140783,200950,51.94,1369.94,4472.39,36406.08,949.32,9.01
安徽,1,2022,28205,475,30176,444233,151359,221418,55.34,1507.4,4949.12,37205.61,948.47,9.63
安徽,1,2023,29340,485,31361,453500,164135,241400,59.02,1644.86,5425.85,38905.14,947.62,10.25
安徽,1,2024,30583,499,32635,449767,168511,244582,59.9,1782.32,5902.58,40304.67,946.77,10.87
北京,2,2012,8837,118,9632,100167,69810,79534,25.32,943.33,5750.79,18529.75,225.01,7.74
北京,2,2013,8857,118,9683,104011,72489,83879,26.31,1093.61,6337.38,20466.38,246.31,7.75
北京,2,2014,8802,117,9638,109811,75299,88488,27.4,1229.07,7411.41,21359.92,269.81,7.24
北京,2,2015,8912,113,9771,111555,80410,94626,28.92,1354.88,8453.14,21780.33,276.38,6.49
北京,2,2016,8908,112,9773,117041,84276,98082,29.95,1524.25,9429.73,23204.97,311.89,7.06
北京,2,2017,9090,110,9976,120645,88934,103459,31.52,1691.6,10106.42,22468.66,328.65,7.15
北京,2,2018,9172,110,10058,123626,93587,107351,32.61,1907.85,11609.06,23515.8,353.6,8.09
北京,2,2019,9416,108,10336,127777,99240,114891,34.32,2155.21,13766.77,24886.39,384.86,9.12
北京,2,2020,9675,105,10599,127033,101061,117944,34.81,1794.45,13834.01,18228.88,253.77,10.14
北京,2,2021,9777,101,10699,130259,105757,124086,36.1,2328.33,13901.25,22747.57,367.67,11.16
北京,2,2022,9915,98,10897,133985,108453,126128,36.86,2862.2,13968.49,22266.26,481.56,12.19
北京,2,2023,10505,93,11487,138811,115149,134670,38.9,3396.07,14035.73,27584.95,595.45,13.22
北京,2,2024,10290,95,11273,141137,129845,139912,40.16,3929.94,14102.97,29103.64,709.34,14.25
