省份,区域,年份,方向性错配指数,绝对错配指数,65岁及以上人口占比,每千老年人床位数,基层床位占比,是否跨门槛,风险等级
上海,东部,2024,0.9575356158200912,0.9575356158200912,0.202547021943574,3705.611055985116,0.08488280263673921,已跨门槛,高风险
云南,西部,2024,-0.11119450512289376,0.11119450512289376,0.12068533745148,6662.201823077473,0.20519616539665916,未跨门槛,低风险
内蒙古,西部,2024,0.35375395709833724,0.35375395709833724,0.160387338269998,4534.562640702231,0.16582602086644094,已跨门槛,预警
北京,东部,2024,0.0708085555916822,0.0708085555916822,0.164797507788162,3923.1643902401006,0.0382606970532178,已跨门槛,预警
吉林,东北,2024,0.8181602473310372,0.8181602473310372,0.194128748165234,3951.0106296338,0.08496750414990294,已跨门槛,预警
四川,西部,2024,0.743175347358376,0.743175347358376,0.18443275139097,4634.7080934377145,0.2265899058393058,已跨门槛,预警
天津,东部,2024,0.8559200845289757,0.8559200845289757,0.185652204887084,2894.566742549904,0.07367085499120044,已跨门槛,高风险
宁夏,西部,2024,-0.15562944604462106,0.15562944604462106,0.106414188558474,6172.145366846499,0.09816002172051544,未跨门槛,低风险
安徽,中部,2024,0.504339038501789,0.504339038501789,0.156854966677245,4683.00965595613,0.1985472477971928,已跨门槛,预警
山东,东部,2024,0.7266545892536691,0.7266545892536691,0.177345978872696,4257.500508540384,0.1836836856565115,已跨门槛,预警
山西,中部,2024,0.4841243053176796,0.4841243053176796,0.157854665425937,4226.982981651059,0.1570015743648177,已跨门槛,预警
广东,东部,2024,-0.0229103009866124,0.0229103009866124,0.10186100256952198,4950.415673115049,0.12041518410643708,未跨门槛,低风险
广西,西部,2024,0.2751669731563464,0.2751669731563464,0.13970616738380404,5388.671484108036,0.25835068920014626,未跨门槛,预警
新疆,西部,2024,-0.4717396076173793,0.4717396076173793,0.0886460455639933,8697.928662818978,0.17849814332263664,未跨门槛,低风险
江苏,东部,2024,0.8592006135751152,0.8592006135751152,0.187770636765577,3773.5633402487792,0.19019337153753715,已跨门槛,高风险
江西,中部,2024,0.2514982703473836,0.2514982703473836,0.13886790824143802,5446.834352823251,0.2114369785655763,未跨门槛,预警
河北,东部,2024,0.5250732956525139,0.5250732956525139,0.16457079651844198,4504.929145399492,0.18044205561344812,已跨门槛,预警
河南,中部,2024,0.3892998172459272,0.3892998172459272,0.150361905140145,5200.520320272013,0.2148603930220036,已跨门槛,预警
浙江,东部,2024,0.4158317518589353,0.4158317518589353,0.15715721548120198,3942.31799185216,0.07404736611582848,已跨门槛,预警
海南,东部,2024,0.052933928056305035,0.052933928056305035,0.118497913769124,4953.061722753817,0.18208421394895136,未跨门槛,预警
湖北,中部,2024,0.6090906208163072,0.6090906208163072,0.172944977351452,4715.811622106663,0.23728108245570154,已跨门槛,预警
湖南,中部,2024,0.5841607738808317,0.5841607738808317,0.166827630269082,4796.707082870663,0.23601762774573545,已跨门槛,预警
甘肃,西部,2024,0.08563532050725177,0.08563532050725177,0.136324110671937,6200.403130964944,0.1896364178932068,未跨门槛,预警
福建,东部,2024,0.03076770899730097,0.03076770899730097,0.129535239330893,4584.313861204909,0.16827782307133132,未跨门槛,预警
西藏,西部,2024,-0.6833955135942511,0.6833955135942511,0.0629590766002099,9247.53423423423,0.2088942530869929,未跨门槛,低风险
贵州,西部,2024,0.09652333089044952,0.09652333089044952,0.129039565086077,6522.299687421349,0.1588322749645244,未跨门槛,预警
辽宁,东北,2024,1.2573270887482004,1.2573270887482004,0.21902111638566,3711.3829610802723,0.10037069057403744,已跨门槛,极高风险
重庆,西部,2024,0.8469409205606233,0.8469409205606233,0.18868039478494,4118.756098276917,0.2311378598167033,已跨门槛,预警
陕西,西部,2024,0.4499227501854071,0.4499227501854071,0.15681600353886602,4996.1472263839205,0.13948622573520866,已跨门槛,预警
青海,西部,2024,-0.3308141523112233,0.3308141523112233,0.105762933857236,7630.575391956759,0.1379108594354013,未跨门槛,低风险
黑龙江,东北,2024,0.8178348367210195,0.8178348367210195,0.194104061076538,4645.175393986598,0.11680318114745394,已跨门槛,预警
