省份,年份,区域,老龄化压力指数,资源保障指数,方向性错配指数,绝对错配指数,错配类型,65岁及以上人口占比,老年人口抚养比（%）,每千人床位数,每千人医师数,每千人护士数,基层床位占比,城乡卫技人员差,每千老年人床位数,每千老年人医师数,每千老年人护士数
上海,2012,东部,0.3912773186306717,0.5304378272715558,-0.13916050864088403,0.13916050864088403,低压力—高保障,0.0901218407008358,10.92,4.576240100041684,2.155981659024594,2.636306794497707,0.15849304088027402,29.0,5077.836919945692,2392.296520198127,2925.269583928125
云南,2012,西部,0.30272417231884724,0.33601822700657175,-0.033294054687724506,0.033294054687724506,低压力—低保障,0.0775582651643772,10.67,4.204426689699849,1.222565320665083,1.311919671777154,0.2280349448145162,62.0,5420.991148769221,1576.3185497689706,1691.5278713321757
内蒙古,2012,西部,0.27883962637541604,0.5152489269362057,-0.23640930056078968,0.23640930056078968,低压力—高保障,0.078748495788207,10.06,4.496266233766233,2.033279220779221,1.898295454545454,0.22114308408852945,70.0,5709.653484504493,2581.991186533515,2410.579955267836
北京,2012,东部,0.3440361919402178,0.7207194366554354,-0.3766832447152176,0.3766832447152176,低压力—高保障,0.0860071817444689,10.48,4.820356111645814,3.3594802694898935,3.827430221366699,0.04692164085976418,77.0,5604.597213715596,3906.04621771128,4450.128633139218
吉林,2012,东北,0.25077224858173885,0.48321898619874437,-0.23244673761700552,0.23244673761700552,低压力—高保障,0.0773889929844438,9.67,4.735211267605634,1.9995922905856192,1.8893624907338769,0.16907229406055296,30.0,6118.714154295138,2583.8200155771037,2441.383997739399
四川,2012,西部,0.8404841831885704,0.5305894081108448,0.30989477507772567,0.30989477507772567,高压力—高保障,0.11814026652420402,16.42,4.82556586270872,1.603030303030303,1.729251700680272,0.3144968434974509,37.0,4084.6072255305794,1356.8873257128485,1463.7276108785409
天津,2012,东部,0.6068235282885577,0.411412717740436,0.1954108105481217,0.1954108105481217,高压力—低保障,0.10457128318208801,13.44,3.8830914368650222,2.04644412191582,2.0044267053701006,0.130819114541479,28.0,3713.3439685381572,1956.984804664188,1916.804159206721
宁夏,2012,西部,0.16702135290187825,0.3537272034919698,-0.18670585059009154,0.18670585059009154,低压力—低保障,0.0662962962962963,9.34,4.213201820940819,1.7477996965098632,1.8974203338391498,0.10084638933909597,55.0,6355.1088919219055,2636.345910936665,2862.030671154025
安徽,2012,中部,0.6483169460888494,0.3395956625841993,0.30872128350465006,0.30872128350465006,高压力—低保障,0.10317635049936999,14.42,3.7188859150217475,1.190715958514553,1.589929742388759,0.2599914535681353,30.0,3604.397613428336,1154.0589997141094,1540.9827297569195
山东,2012,东部,0.6555566003418762,0.5297907932835334,0.12576580705834284,0.12576580705834284,高压力—高保障,0.10513550303180301,14.33,4.880181293778327,1.731674907292954,1.974876390605686,0.2657418821026325,29.0,4641.801440092122,1647.0886212140256,1878.4105593790664
山西,2012,中部,0.30369475632458875,0.553298164674795,-0.24960340835020622,0.24960340835020622,低压力—高保障,0.079660116834838,10.44,4.659216459977452,2.071786922209696,1.9824408117249148,0.2419710965525168,68.0,5848.8697294250305,2600.7831830139057,2488.6240323186776
广东,2012,东部,0.1765905690744971,0.2870294672853315,-0.11043889821083441,0.11043889821083441,低压力—低保障,0.0698229537869789,9.11,3.2177701295172536,1.4439634091114932,1.80720949189385,0.1674763703507715,73.0,4608.4703596674935,2068.035410700104,2588.2741904724053
广西,2012,西部,0.5519112793009593,0.3935526291788848,0.1583586501220745,0.1583586501220745,高压力—低保障,0.093278042287411,13.7,3.5937579889220284,1.306774605879847,1.821793779292714,0.29817832605177513,38.0,3852.737365401427,1400.9455750082914,1953.0789182724807
新疆,2012,西部,0.08331912345780072,0.5709554510761015,-0.4876363276183007,0.4876363276183007,低压力—高保障,0.0679549114331723,7.5,5.840745672436751,1.8356857523302257,2.327962716378162,0.19378077694692689,105.0,8595.030953988678,2701.3290336423465,3425.7460826323186
江苏,2012,东部,0.762221177562789,0.4186246341401255,0.34359654342266344,0.34359654342266344,高压力—低保障,0.114961487825916,15.26,4.10243842364532,1.660098522167488,1.911908866995074,0.20863477806663105,40.0,3568.532820188936,1444.0475271869684,1663.0863980207364
江西,2012,中部,0.3646186319170367,0.38122411048174654,-0.01660547856470984,0.01660547856470984,低压力—低保障,0.0808940926024481,11.49,3.6585698324022347,1.26131843575419,1.6101675977653631,0.3011220307718619,48.0,4522.666259923553,1559.2219347250812,1990.4637606586296
河北,2012,东部,0.4745784058293318,0.37978316687718494,0.09479523895214687,0.09479523895214687,高压力—低保障,0.0909285267901194,12.46,3.915711925089507,1.497810520517764,1.404406499586891,0.2430026832278915,66.0,4306.362440169878,1647.2394015301709,1544.5169400231596
河南,2012,中部,0.45970126363597086,0.3713282714864984,0.08837299214947247,0.08837299214947247,高压力—低保障,0.08821018564529902,12.49,4.133371800251783,1.2197859840537142,1.63702266051196,0.25685735533372417,59.0,4685.821450226212,1382.8176135560827,1855.8204458321554
浙江,2012,东部,0.384013762397161,0.3748299641526824,0.009183798244478625,0.009183798244478625,低压力—低保障,0.0874835886214442,11.09,3.751732629727353,1.9254001759014951,2.13391380826737,0.11205611244994984,48.0,4288.498778852927,2200.870136035476,2439.216134012477
