省份,年份,区域,老龄化压力指数,资源保障指数,方向性错配指数,绝对错配指数,错配类型,65岁及以上人口占比,老年人口抚养比（%）,每千人床位数,每千人医师数,每千人护士数,基层床位占比,城乡卫技人员差,每千老年人床位数,每千老年人医师数,每千老年人护士数
西藏,2024,西部,0.13007437463094013,0.8134698882251912,-0.6833955135942511,0.6833955135942511,低压力—低保障,0.0629590766002099,9.01,5.822162162162162,3.031081081081081,2.9543243243243236,0.2088942530869929,131.0,9247.53423423423,4814.3671171171145,4692.451801801799
新疆,2024,西部,0.4531641891175665,0.9249037967349458,-0.4717396076173793,0.4717396076173793,低压力—低保障,0.0886460455639933,12.31,7.710369805566144,2.735112466641251,4.114868471216163,0.17849814332263664,50.0,8697.928662818978,3085.4308832837687,4641.908666129561
广西,2024,西部,1.2237572824212042,0.9485903092648578,0.2751669731563464,0.2751669731563464,低压力—低保障,0.13970616738380404,21.39,7.528306403351286,2.547715938559745,4.170097745860762,0.25835068920014626,48.0,5388.671484108036,1823.6245301616507,2984.9059808537822
青海,2024,西部,0.6985595025382643,1.0293736548494876,-0.33081415231122335,0.33081415231122335,低压力—高保障,0.10576293385723601,15.1,8.070320404721754,3.3726812816188865,4.260033726812816,0.1379108594354013,62.0,7630.575391956759,3188.906697852669,4027.908050057706
云南,2024,西部,0.8965878591341321,1.0077823642570258,-0.11119450512289375,0.11119450512289375,低压力—高保障,0.12068533745148,17.22,8.0403007518797,2.8272610096670245,4.580214822771214,0.20519616539665916,53.0,6662.201823077473,2342.6715037389604,3795.1709126327223
贵州,2024,西部,1.077896269474331,0.9813729385838815,0.09652333089044951,0.09652333089044951,低压力—高保障,0.129039565086077,19.79,8.416347150259067,2.8109844559585486,4.3716062176165815,0.1588322749645244,41.0,6522.299687421349,2178.3895924350463,3387.8029693454573
江苏,2024,东部,1.8260271574948899,0.9668265439197746,0.8592006135751152,0.8592006135751152,高压力—低保障,0.187770636765577,27.52,7.085643912737509,3.2158925639221208,3.99276331222144,0.19019337153753715,32.0,3773.5633402487792,1712.6706386670112,2126.4045225592013
天津,2024,东部,1.776063353180552,0.9201432686515764,0.8559200845289757,0.8559200845289757,高压力—低保障,0.185652204887084,26.79,5.373826979472141,4.1822580645161285,3.9368035190615838,0.07367085499120044,,2894.566742549904,2252.7381600772433,2120.526131890541
安徽,2024,中部,1.4179054988319533,0.9135664603301643,0.504339038501789,0.504339038501789,高压力—低保障,0.156854966677245,23.17,7.3455332353421525,2.7520986444553324,3.99447983014862,0.1985472477971928,43.0,4683.00965595613,1754.5498894645966,2546.6071714311233
辽宁,2024,东北,2.24737405741125,0.9900469686630498,1.2573270887482004,1.2573270887482004,高压力—高保障,0.21902111638566,32.09,8.128712394705175,3.2785318892900115,4.3045246690734045,0.10037069057403744,51.0,3711.3829610802723,1496.9021907079766,1965.346876186061
上海,2024,东部,1.98192069682606,1.024385081005969,0.9575356158200912,0.9575356158200912,高压力—高保障,0.202547021943574,28.83,7.505604838709678,3.6582258064516133,4.755362903225806,0.08488280263673921,,3705.611055985116,1806.1118703935965,2347.7821878568852
重庆,2024,西部,1.8498524366760567,1.0029115161154334,0.8469409205606233,0.8469409205606233,高压力—高保障,0.18868039478494,27.88,7.7712852664576815,2.910313479623825,4.1726959247648905,0.2311378598167033,-1.0,4118.756098276917,1542.4567469985595,2211.515366777229
