变量,系数,标准误,t值,p值
const,-0.007138405857515573,0.15712372960527882,-0.045431749077293714,0.9637631750020305
left_0.1498,1.52014130679171,0.3816334743152788,3.9832493979180557,6.79793502529288e-05
right_0.1498,3.602146330915179,0.38607801931089036,9.330099489591872,1.0577157606791459e-20
老年人口抚养比（%）,0.05291027369752249,0.0016205386048491546,32.649807625192345,8.063732797548619e-234
基层床位占比,-0.9620317222439532,0.15778906400378,-6.09694802563064,1.0811265094014415e-09
每千老年人床位数,-7.936791590568569e-05,5.779600334299152e-06,-13.732422886523006,6.49254457344447e-43
城镇化率,-0.24933816809325665,0.1426283570411946,-1.7481668671345745,0.08043513703781224
人均GDP_元每人,-4.863133333657385e-07,2.873976438929327e-07,-1.6921270709752585,0.09062174790352506
prov_云南,0.016050144817613465,0.08571242792335446,0.187255748162516,0.8514601170655506
prov_内蒙古,-0.06053810264335348,0.05379352635311413,-1.1253789581661977,0.2604284837331965
prov_北京,-0.35700090477748975,0.019766447684794543,-18.060954121367736,6.469466818419684e-73
prov_吉林,-0.1020328711455831,0.0642536799017922,-1.5879693007705404,0.1122932811832648
prov_四川,0.011164815164520411,0.07276717715349823,0.15343202253082963,0.8780575935229444
prov_天津,-0.037899433441427405,0.025986349051153556,-1.458436249233134,0.14472033516658173
prov_宁夏,-0.05493775269398002,0.06643801326643332,-0.8269024010947718,0.40829238238128773
prov_安徽,0.07103284244604653,0.06916473618046765,1.0270095191385469,0.30441598174938567
prov_山东,-0.018537479483296676,0.0587608453291462,-0.3154733288716292,0.7524022984196534
prov_山西,-0.046779717962846065,0.06814502505628524,-0.6864729732538475,0.4924149015983761
prov_广东,0.06260706655491782,0.04553532891187985,1.3749119211607161,0.16915875295706506
prov_广西,0.028157348571835765,0.08004339783563068,0.3517760281698305,0.7250062376742328
prov_新疆,0.06543507596103867,0.08113668505388154,0.8064795341045091,0.4199664039636214
prov_江苏,0.056034830353648896,0.03558021010292562,1.5748875622587,0.11528240007348241
prov_江西,0.07486262302576109,0.07096774562472045,1.054882360525257,0.2914791306306054
prov_河北,0.009087222478910736,0.06995623362536306,0.12989868104643226,0.8966465878204309
prov_河南,0.03551567207802202,0.07705654237020658,0.46090404507630656,0.6448674494965347
prov_浙江,-0.0689267640306229,0.04172498389086783,-1.651930273020635,0.09854876590201292
prov_海南,-0.011267257901757172,0.06815389782386569,-0.16532081453177982,0.8686914766051169
prov_湖北,0.016522059095428768,0.061032695824954686,0.2707083289064437,0.7866153703908246
prov_湖南,0.029023403748314157,0.0708296062159977,0.40976373156454005,0.6819792737970383
prov_甘肃,0.009305611793455182,0.08282030907422137,0.1123590565825556,0.910538717813444
prov_福建,0.04543727937172271,0.05263775006773362,0.8632070959198402,0.3880236129572904
prov_西藏,0.12643097002507572,0.11288330671765358,1.1200147630447068,0.2627074710387928
prov_贵州,0.025712076878794912,0.08407207489215637,0.30583373744227355,0.7597312396733245
prov_辽宁,-0.02845958435417175,0.04748038050693854,-0.5993967202940341,0.5489083635309769
prov_重庆,0.09336820138503052,0.05288423324604531,1.765520565470477,0.07747631700729
prov_陕西,-0.015428859790379099,0.06297145190419734,-0.24501356287372966,0.8064459297269592
prov_青海,-0.017419976485385638,0.07528402464639211,-0.23139007999647995,0.8170117710917327
prov_黑龙江,-0.026325500507565422,0.06140905021827375,-0.42869089187983617,0.6681481898517281
year_2013,-0.012567578567485634,0.007713535761994168,-1.6292889480603845,0.1032518646767485
year_2014,-0.020110063424355326,0.009860425790308429,-2.0394721132753735,0.041402931660385375
year_2015,-0.03664691685981101,0.011984592164162831,-3.0578359578555534,0.002229415821669027
year_2016,-0.05051701721142266,0.014784325448928085,-3.4169308154052658,0.0006333137174996845
year_2017,-0.071461063008092,0.018156615489253288,-3.9358140866280427,8.291514423756251e-05
year_2018,-0.09217866486966364,0.021593455576434602,-4.268824160328474,1.9650609718338684e-05
year_2019,-0.12315347091173323,0.02474608219161512,-4.976685600497284,6.468225413080161e-07
year_2020,-0.144672831703261,0.02755131342868913,-5.251032117859523,1.5124930149841114e-07
year_2021,-0.1719347808066479,0.031451980555898734,-5.466580411401214,4.5880034429611334e-08
year_2022,-0.1892722728685466,0.03334121699730816,-5.676825560501516,1.3721727273832382e-08
year_2023,-0.23514105796237633,0.036339326887864155,-6.470704828627516,9.754682295850616e-11
year_2024,-0.2881825352099617,0.03827109351953764,-7.530031381592027,5.072812960300218e-14
