省份,代码_x,年份,基层医疗卫生机构数/个,专业公共卫生机构/个,医疗卫生机构数量/个,医疗卫生机构床位数/张,执业医师数/人,注册护士数/人,卫生人员数/万人,医疗卫生机构事业收入/亿元,人均卫生费用/元,诊疗人次数/万人次,入院人数/万人,城乡居民医疗保健支出占消费性支出,代码_y,甲乙类法定报告传染病发病率（1/10w）,甲乙类法定报告传染病死亡率（1/10w）,人口死亡率‰,人口平均预期寿命（岁）,孕产妇死亡率‰,新生儿访视率%,3岁以下儿童系统管理率%,7岁以下儿童健康保健管理率%,围产婴儿死亡率‰,5岁以下儿童低体重患病率%,出院人数（万人）,年末常住人口,卫生总费用,政府卫生支出（亿元）,卫生总费用占GDP比重（%）,农村每万人医疗机构床位数,城市每万人医疗机构床位数,基层医疗卫生机构床位数,每万人拥有农村卫生技术人员数,每万人拥有城市卫生技术人员数,人均GDP_元每人,城镇化率,65岁及以上人口占比,教育水平_每十万人高等学校在校生数,财政支出能力_元每人,每千人床位数,每千人医师数,每千人护士数,每千人诊疗人次,每千人出院人数,城乡床位差,城乡床位比,城乡卫技人员差,城乡卫技人员比,总抚养比（%）,少年儿童抚养比（%）,老年人口抚养比（%）,区域,基层机构占比,基层床位占比,每千老年人床位数,每千老年人医师数,每千老年人护士数,每千老年人诊疗人次,每千老年人出院人数,老龄化压力_基础项,老龄化压力_扩展项,资源保障_基层承接项,资源保障_均衡项
上海,24,2012,4379,101,4845,109784,51722,63245,18.34,807.81,4588.8599,22085.939,276.73001,5.670000099999999,24,190.71001,0.61000001,5.36,80.720001,5.3600001,98.0,97.5,99.300003,2.6700001,0.06,276.71,2399,1092.35,232.49,5.41,44.82,78.56,1.74,76.0,105.0,91587,0.892872030012505,0.0901218407008358,3481,17440.6836181742,4.576240100041684,2.155981659024594,2.636306794497707,9206.310546060857,115.3438932888703,33.74,1.752788933511825,29.0,1.381578947368421,21.18,10.26,10.92,东部,0.9038183694530444,0.158493040880274,5077.836919945692,2392.296520198127,2925.269583928125,10215404.472953111,127986.61500019784,0.0901218407008358,10.92,0.158493040880274,29.0
云南,29,2012,21887,519,23395,194707,56617,60755,23.34,399.75,1626.26,20009.25,621.1799900000001,6.969999799999999,29,206.13,3.9200001,6.41,70.440002,6.4099998,96.900002,89.400002,90.5,8.4700003,2.97,619.65,4631,757.67,288.23,7.35,35.69,86.88,4.44,28.0,90.0,24357,0.38479809976247,0.0775582651643772,1566,7714.662060030229,4.204426689699849,1.222565320665083,1.311919671777154,4320.719067156122,133.8047937810408,51.19,2.434295320818157,62.0,3.214285714285714,37.58,26.91,10.67,西部,0.9355417824321436,0.2280349448145162,5420.99114876922,1576.3185497689703,1691.5278713321757,5570933.101712343,172521.64356365442,0.0775582651643772,10.67,0.2280349448145162,62.0
内蒙古,18,2012,22009,447,23046,110788,50100,46774,18.39,247.48,2486.1699,9334.0898,258.63,8.29,18,323.60001,0.28999999,5.52,75.059998,5.52,95.099998,93.5,94.0,7.0100002,0.56,256.89,2464,619.03,204.46,3.9,31.25,86.45,2.45,39.0,109.0,43125,0.58400974025974,0.078748495788207,2042,13904.1801948052,4.496266233766233,2.033279220779221,1.898295454545454,3788.185795454545,104.2573051948052,55.2,2.7664,70.0,2.794871794871795,27.76,17.7,10.06,西部,0.9550030374034539,0.22114308408852945,5709.653484504492,2581.9911865335152,2410.579955267836,4810486.546489496,132392.75766638617,0.078748495788207,10.06,0.22114308408852945,70.0
北京,2,2012,8837,118,9632,100167,69810,79534,25.32,943.3300199999999,5750.79,18529.75,225.00999,7.7399998,2,174.45,0.91000003,4.31,80.629997,4.3099999,95.699997,93.300003,98.699997,4.5700002,0.12,224.92,2078,1190.01,320.4,6.66,36.15,79.41,0.47,78.0,155.0,95408,0.862848893166506,0.0860071817444689,5534,17734.8893166506,4.820356111645813,3.359480269489894,3.827430221366699,8917.107795957652,108.2386910490856,43.26,2.196680497925311,77.0,1.987179487179487,21.91,11.43,10.48,东部,0.9174626245847176,0.046921640859764184,5604.597213715596,3906.0462177112795,4450.128633139219,10367864.188889213,125848.43364670113,0.0860071817444689,10.48,0.046921640859764184,77.0
吉林,14,2012,18804,274,19734,127756,53949,50975,19.64,292.92999,2355.8701,9742.8096,302.45001,9.7299995,14,233.14,0.40000001,5.37,76.629997,5.369999900000001,91.599998,91.199997,90.900002,8.8999996,0.44,301.43,2698,647.96,174.02,5.43,35.41,72.48,2.16,44.0,74.0,32570,0.545218680504077,0.0773889929844438,2889,9159.37731653076,4.735211267605634,1.999592290585619,1.889362490733877,3611.12290585619,111.7234988880652,37.07000000000001,2.046879412595312,30.0,1.681818181818182,24.98,15.31,9.67,东北,0.952873213742779,0.16907229406055296,6118.7141542951385,2583.8200155771033,2441.383997739399,4666197.047662932,144366.1360350342,0.0773889929844438,9.67,0.16907229406055296,30.0
四川,25,2012,74215,713,76557,390147,129605,139810,54.9,873.0900300000001,1740.8101,42438.891,1383.11,6.25,25,216.73,1.95,6.92,75.360001,6.920000099999999,92.099998,87.800003,86.599998,5.170000099999999,1.6,1376.22,8085,1405.91,473.89,5.89,36.01,61.72,12.27,33.0,70.0,30002,0.433518862090291,0.118140266524204,2037,6742.10265924551,4.82556586270872,1.603030303030303,1.729251700680272,5249.089795918367,170.2189239332097,25.71,1.713968342127187,37.0,2.121212121212121,38.98,22.56,16.42,西部,0.9694084146452969,0.31449684349745094,4084.607225530579,1356.8873257128485,1463.727610878541,4443099.673254047,144082.05512075438,0.118140266524204,16.42,0.31449684349745094,37.0
天津,26,2012,4095,95,4551,53509,28200,27621,10.42,331.14999,3394.8999,9607.7197,132.14999,7.900000099999999,26,197.97,0.63,6.12,79.370003,6.119999900000001,97.5,77.900002,93.199997,7.889999900000001,0.23,132.38,1378,479.75,120.9,3.72,37.75,57.24,0.7,54.0,82.0,67621,0.8156748911465891,0.104571283182088,4358,15553.0478955007,3.883091436865022,2.04644412191582,2.004426705370101,6972.220391872279,96.06676342525398,19.49,1.516291390728477,28.0,1.518518518518519,28.52,15.08,13.44,东部,0.8998022412656559,0.130819114541479,3713.3439685381577,1956.984804664188,1916.804159206721,6667433.141976161,91867.25122037064,0.104571283182088,13.44,0.130819114541479,28.0
宁夏,19,2012,3904,83,4140,27765,11518,12504,4.4,67.629997,2085.8701,3115.1699,82.0,8.0699997,19,265.31,0.36000001,4.33,74.019997,4.329999900000001,98.599998,93.099998,94.099998,11.2,0.44999999,81.87,659,135.0,51.8,5.77,23.93,67.94,0.28,29.0,84.0,33083,0.5113808801213959,0.0662962962962963,2107,13116.2367223065,4.213201820940819,1.747799696509863,1.89742033383915,4727.116691957512,124.2336874051593,44.01,2.839114082741329,55.0,2.896551724137931,37.53,28.19,9.34,西部,0.9429951690821256,0.10084638933909598,6355.1088919219055,2636.345910936665,2862.030671154025,7130287.747645409,187391.59552733524,0.0662962962962963,9.34,0.10084638933909598,55.0
安徽,1,2012,21812,446,23275,222315,71181,95046,33.48,517.09998,1857.08,23491.539,711.65002,7.429999799999999,1,197.97,0.63,6.14,75.660004,6.1399999,73.699997,67.5,78.0,5.2600002,0.69,708.9,5978,1112.02,365.75,6.46,24.39,50.28,5.78,25.0,55.0,31153,0.4630311140849779,0.10317635049937,2101,6625.978588156569,3.718885915021747,1.190715958514553,1.589929742388759,3929.665272666444,118.5848109735697,25.89,2.06150061500615,30.0,2.2,39.72,25.3,14.42,中部,0.9371428571428572,0.2599914535681353,3604.3976134283357,1154.0589997141094,1540.9827297569195,3808687.9925942314,114934.10107996965,0.10317635049937,14.42,0.2599914535681353,30.0
山东,21,2012,66462,677,68840,473768,168111,191721,73.89,1146.11,1991.65,58264.691,1397.48,7.070000200000001,21,114.6,0.28999999,6.95,77.0,6.9499998,95.0,93.900002,93.099998,4.7800002,0.67000002,1399.23,9708,1928.88,498.38,3.86,43.12,64.69,12.59,47.0,76.0,44995,0.5202925422332101,0.105135503031803,2238,6082.117840955911,4.880181293778327,1.731674907292954,1.974876390605686,6001.719303667079,144.1316440049444,21.57,1.500231910946197,29.0,1.617021276595745,36.33,22.0,14.33,东部,0.9654561301568856,0.2657418821026325,4641.801440092122,1647.0886212140256,1878.4105593790666,5708556.225627786,137091.31534886485,0.105135503031803,14.33,0.2657418821026325,29.0
