省份,区域,年份,综合效率_OTE,纯技术效率_PTE,规模效率_SE,规模报酬类型,超效率
上海,东部,2012,0.9419,1,0.9419,IRS,
上海,东部,2013,1,1,1,CRS,1.0547
上海,东部,2014,0.9702,1,0.9702,IRS,
上海,东部,2015,1,1,1,CRS,1.2403
上海,东部,2016,1,1,1,CRS,1.2394
上海,东部,2017,1,1,1,CRS,1.1898
上海,东部,2018,1,1,1,CRS,1.1937
上海,东部,2019,1,1,1,CRS,1.1787
上海,东部,2020,1,1,1,CRS,1.1342
上海,东部,2021,1,1,1,CRS,1.2301
上海,东部,2022,1,1,1,CRS,1.2063
上海,东部,2023,1,1,1,CRS,1.2259
上海,东部,2024,1,1,1,CRS,1.082
云南,西部,2012,1,1,1,CRS,1.0809
云南,西部,2013,1,1,1,CRS,1.0574
云南,西部,2014,1,1,1,CRS,1.058
云南,西部,2015,1,1,1,CRS,1.034
云南,西部,2016,1,1,1,CRS,1.0045
云南,西部,2017,0.9497,0.9866,0.9626,IRS,
云南,西部,2018,0.9282,0.9363,0.9913,IRS,
云南,西部,2019,0.8872,0.9033,0.9822,IRS,
云南,西部,2020,0.9242,1,0.9242,IRS,
云南,西部,2021,0.9339,0.935,0.9989,IRS,
云南,西部,2022,0.8884,0.9043,0.9824,IRS,
云南,西部,2023,0.888,0.9286,0.9563,IRS,
云南,西部,2024,0.8579,0.8997,0.9535,IRS,
内蒙古,西部,2012,0.8899,0.8956,0.9937,IRS,
内蒙古,西部,2013,0.8877,0.9012,0.985,IRS,
内蒙古,西部,2014,0.8871,0.9087,0.9762,IRS,
内蒙古,西部,2015,0.8952,0.9122,0.9814,IRS,
内蒙古,西部,2016,0.8465,0.8556,0.9894,IRS,
内蒙古,西部,2017,0.8592,0.8885,0.9671,IRS,
内蒙古,西部,2018,0.824,0.9059,0.9096,IRS,
内蒙古,西部,2019,0.831,0.9009,0.9224,IRS,
内蒙古,西部,2020,0.8226,0.8976,0.9165,IRS,
内蒙古,西部,2021,0.8665,0.8674,0.999,IRS,
内蒙古,西部,2022,0.8686,0.8747,0.993,IRS,
内蒙古,西部,2023,0.8713,0.8785,0.9918,IRS,
内蒙古,西部,2024,0.8382,0.8478,0.9887,IRS,
北京,东部,2012,1,1,1,CRS,1.0608
北京,东部,2013,0.9409,0.9462,0.9945,IRS,
北京,东部,2014,0.8971,0.9342,0.9603,IRS,
北京,东部,2015,0.9205,0.9714,0.9475,IRS,
北京,东部,2016,0.9306,0.9721,0.9573,IRS,
北京,东部,2017,0.9414,0.984,0.9566,IRS,
北京,东部,2018,0.8763,0.9855,0.8892,IRS,
北京,东部,2019,0.8736,0.9972,0.8761,IRS,
北京,东部,2020,1,1,1,CRS,1.0176
北京,东部,2021,0.951,1,0.951,IRS,
北京,东部,2022,0.9437,1,0.9437,IRS,
北京,东部,2023,0.9671,1,0.9671,IRS,
北京,东部,2024,0.9707,1,0.9707,IRS,
吉林,东北,2012,0.87,0.8986,0.9681,IRS,
吉林,东北,2013,0.9842,1,0.9842,IRS,
吉林,东北,2014,0.8944,0.8994,0.9945,IRS,
吉林,东北,2015,1,1,1,CRS,1.0169
吉林,东北,2016,0.9622,0.9648,0.9973,IRS,
吉林,东北,2017,0.8857,0.9201,0.9626,IRS,
吉林,东北,2018,0.8849,0.8902,0.9941,IRS,
吉林,东北,2019,0.8395,0.8396,0.9999,CRS,
吉林,东北,2020,0.8164,0.8165,0.9999,DRS,
吉林,东北,2021,0.8511,0.8531,0.9977,IRS,
吉林,东北,2022,0.8726,0.8778,0.994,IRS,
吉林,东北,2023,0.889,0.9069,0.9802,IRS,
吉林,东北,2024,0.869,0.8867,0.98,IRS,
四川,西部,2012,0.9635,1,0.9635,IRS,
四川,西部,2013,0.9619,1,0.9619,IRS,
四川,西部,2014,1,1,1,CRS,1.0176
四川,西部,2015,1,1,1,CRS,1.0195
四川,西部,2016,1,1,1,CRS,1.0315
四川,西部,2017,1,1,1,CRS,1.002
四川,西部,2018,1,1,1,CRS,1.0668
四川,西部,2019,1,1,1,CRS,1.0712
四川,西部,2020,0.9743,1,0.9743,IRS,
四川,西部,2021,0.9553,0.9961,0.959,IRS,
