年份,theil_total,within_group,between_group,within_share,between_share
2012,0.0023409592885913107,0.0018957107154370626,0.0004452485731542365,0.8098008045999896,0.1901991954000055
2013,0.0030736109358214282,0.002880368995988229,0.0001932419398332141,0.9371286919951191,0.06287130800488573
2014,0.0030834704549554683,0.0029809194277533703,0.00010255102720209126,0.9667416864535584,0.03325831354643945
2015,0.0019016792382834488,0.0018387504850372663,6.292875324612635e-05,0.9669088498315914,0.03309115016837908
2016,0.002328516183365572,0.0022037330414934417,0.00012478314187214148,0.9464108762637964,0.05358912373620845
2017,0.0025922139562957,0.002365094904953011,0.00022711905134275255,0.9123841414436158,0.08761585855640866
2018,0.002174692390907177,0.001998912097594087,0.0001757802933130912,0.9191700426009387,0.0808299573990619
2019,0.002277311212583719,0.002104006647836104,0.00017330456474760805,0.9238994811995886,0.07610051880040834
2020,0.0022352485625838337,0.0018221298022591647,0.00041311876032471863,0.81517994587272,0.1848200541273022
2021,0.0015746802459049266,0.001352322420397538,0.0002223578255074049,0.8587917603680831,0.1412082396319272
2022,0.001482955074029603,0.0011685996581434792,0.0003143554158862062,0.7880209445374954,0.21197905546256016
2023,0.0013664506930300346,0.001048393898686796,0.0003180567943431925,0.7672387331898791,0.23276126681008724
2024,0.0017234985222304394,0.0012466599320888891,0.0004768385901415661,0.7233310130579881,0.2766689869420211
