country,cluster_id,cluster_rank,cluster_label,U1_Score,U2_Score,U3_Score,D_Value,risk_result_gap,resource_result_gap,resource_risk_gap
Israel,1,1,结果优势型,0.7296818866239829,0.901044424271524,0.4949715399549729,0.8293604724659587,0.17136253764754106,0.4060728843165511,-0.23471034666901003
Iceland,1,1,结果优势型,0.6546500292340642,0.91316930692098,0.4988814244572884,0.8173843253177195,0.25851927768691574,0.4142878824636916,-0.15576860477677584
France,1,1,结果优势型,0.661957238114419,0.9035182885634911,0.4967537962319918,0.8168669898715344,0.24156105044907217,0.40676449233149936,-0.1652034418824272
Italy,1,1,结果优势型,0.6669578016605199,0.9065247068653418,0.4832420354222714,0.8145925824781624,0.23956690520482193,0.4232826714430704,-0.18371576623824848
Switzerland,1,1,结果优势型,0.6325599472978101,0.912341644947628,0.5036482129726652,0.8138875672605776,0.279781697649818,0.4086934319749629,-0.1289117343251449
Austria,1,1,结果优势型,0.6239760417511143,0.8865677396804017,0.5220631881727442,0.8130186068615938,0.2625916979292874,0.3645045515076575,-0.1019128535783701
Greece,0,2,资源支撑型,0.6681906116779912,0.8828104315980819,0.5357187325206048,0.8253106379631817,0.21461981992009072,0.34709169907747717,-0.13247187915738645
Cuba,0,2,资源支撑型,0.5752541872131754,0.866616716776377,0.5874694782489148,0.8149144644343135,0.2913625295632015,0.27914723852746215,0.012215291035739373
Uruguay,0,2,资源支撑型,0.675231992415152,0.824734540087857,0.4960479789029679,0.8070153829487385,0.149502547672705,0.32868656118488904,-0.17918401351218405
Slovak Republic,0,2,资源支撑型,0.6411504722675334,0.7998589963888256,0.4584820540804317,0.7856261973475129,0.15870852412129222,0.34137694230839394,-0.18266841818710172
Georgia,0,2,资源支撑型,0.6133019947278173,0.7174758828013484,0.4837818042053086,0.7727194946849465,0.10417388807353112,0.23369407859603986,-0.12952019052250874
Bulgaria,0,2,资源支撑型,0.607749972513807,0.7519051626152995,0.4518992068918057,0.7688145590033721,0.14415519010149247,0.3000059557234938,-0.15585076562200134
Singapore,2,3,资源短板型,0.7388677538552184,0.9208546470613566,0.3361374566492124,0.7820102602015546,0.18198689320613815,0.5847171904121442,-0.402730297206006
Cyprus,2,3,资源短板型,0.6776506187998667,0.8741941971700856,0.3808817277817797,0.7802503692328651,0.19654357837021896,0.4933124693883059,-0.29676889101808696
Qatar,2,3,资源短板型,0.7164942589167331,0.8034822248354564,0.3663543722069918,0.7715221421717077,0.08698796591872326,0.4371278526284646,-0.35013988670974133
Costa Rica,2,3,资源短板型,0.6991004344955118,0.8694572871302082,0.3376589783029274,0.7680291216275966,0.17035685263469635,0.5317983088272809,-0.36144145619258444
"Korea, Rep.",2,3,资源短板型,0.7015117732697828,0.8673370526016367,0.3238452641218687,0.7628281932750214,0.16582527933185398,0.5434917884797681,-0.37766650914791405
United Arab Emirates,2,3,资源短板型,0.7137524154789678,0.8071114228008305,0.339470859371851,0.7618695169543903,0.09335900732186264,0.46764056342897947,-0.37428155610711683
Armenia,3,4,协调脆弱型,0.675367362324039,0.7673276096400736,0.3881206341095246,0.7654460819913956,0.09196024731603458,0.37920697553054905,-0.28724672821451447
Libya,3,4,协调脆弱型,0.6585909581261138,0.7520661546425552,0.3571467354616389,0.7492379188631183,0.09347519651644143,0.39491941918091633,-0.3014442226644749
Bahrain,3,4,协调脆弱型,0.6889940163005472,0.7245456653334185,0.3128298597767855,0.7338346857639775,0.035551649032871224,0.41171580555663295,-0.37616415652376173
"Egypt, Arab Rep.",3,4,协调脆弱型,0.6531042398535766,0.6059840874208229,0.3699011747282025,0.7259748443819418,-0.04712015243275369,0.23608291269262038,-0.2832030651253741
Syrian Arab Republic,3,4,协调脆弱型,0.663519853959422,0.7019562819649489,0.3123903155938343,0.7252319437315011,0.038436428005526824,0.38956596637111457,-0.35112953836558775
Kyrgyz Republic,3,4,协调脆弱型,0.6155698173136042,0.6590628607239573,0.3421362874007902,0.7195603358270558,0.043493043410353094,0.31692657332316704,-0.27343352991281394
