省份,代码_x,年份,基层医疗卫生机构数/个,专业公共卫生机构/个,医疗卫生机构数量/个,医疗卫生机构床位数/张,执业医师数/人,注册护士数/人,卫生人员数/万人,医疗卫生机构事业收入/亿元,人均卫生费用/元,诊疗人次数/万人次,入院人数/万人,城乡居民医疗保健支出占消费性支出,代码_y,甲乙类法定报告传染病发病率（1/10w）,甲乙类法定报告传染病死亡率（1/10w）,人口死亡率‰,人口平均预期寿命（岁）,孕产妇死亡率‰,新生儿访视率%,3岁以下儿童系统管理率%,7岁以下儿童健康保健管理率%,围产婴儿死亡率‰,5岁以下儿童低体重患病率%,出院人数（万人）,年末常住人口,卫生总费用,政府卫生支出（亿元）,卫生总费用占GDP比重（%）,农村每万人医疗机构床位数,城市每万人医疗机构床位数,基层医疗卫生机构床位数,每万人拥有农村卫生技术人员数,每万人拥有城市卫生技术人员数,人均GDP_元每人,城镇化率,65岁及以上人口占比,教育水平_每十万人高等学校在校生数,财政支出能力_元每人,每千人床位数,每千人医师数,每千人护士数,每千人诊疗人次,每千人出院人数,城乡床位差,城乡床位比,城乡卫技人员差,城乡卫技人员比
上海,24,2012,4379,101,4845,109784,51722,63245,18.34,807.81,4588.8599,22085.939,276.73001,5.6700001,24,190.71001,0.61000001,5.36,80.720001,5.3600001,98,97.5,99.300003,2.6700001,0.06,276.71,2399,1092.35,232.49,5.41,44.82,78.56,1.74,76,105,91587,0.89287203,0.090121841,3481,17440.68362,4.5762401,2.155981659,2.636306794,9206.310546,115.3438933,33.74,1.752788934,29,1.381578947
上海,24,2013,4439,116,4929,114314,54039,67939,19.23,897.07001,5170.21,23406.631,291.04001,5.3499999,24,173.78,0.63,5.24,80.949997,5.2399998,98.199997,97.599998,99,2.4400001,0.07,290.01,2448,1248.68,250.82,5.78,46.99,81.45,1.73,77,111,98244,0.895833333,0.1064118,3421,18499.22386,4.669689542,2.20747549,2.775285948,9561.532271,118.4681373,34.46,1.733347521,34,1.441558442
上海,24,2014,4489,116,4984,117510,57425,71929,20.17,1023.39,5546.9199,25059.711,318.54999,7.8800001,24,174.2,0.60000002,5.21,81.18,5.21,98.400002,97.900002,99.599998,2.4300001,0.13,318.54,2467,1345.5,275.29,5.71,45.2,83.4,1.71,76,116,105654,0.892987434,0.096808032,3348,19957.19497,4.763275233,2.327725983,2.915646534,10157.9696,129.1203891,38.2,1.845132743,40,1.526315789
上海,24,2015,4480,116,5016,122813,59368,75436,20.84,1139.5,6362.02,25616.039,335.06,7.3200002,24,186.91,0.44999999,5.07,81.410004,5.0700002,98.099998,98,99.5,2.1500001,0.13,334.8,2458,1536.6,319.94,6.12,46.45,86.82,1.71,77,120,112981,0.885272579,0.128186204,3330,25189.42229,4.996460537,2.415296989,3.068999186,10421.49675,136.2082994,40.37,1.869106566,43,1.558441558
上海,24,2016,4470,117,5016,129166,61762,79373,21.71,1294.67,7595.98,25931.91,366.60999,7.21,24,184,0.60000002,5,81.629997,5,98.099998,98,99.599998,2.1900001,0.15000001,366.16,2467,1838,430.73,6.52,46.98,91.09,1.67,76,125,125742,0.89014998,0.129631464,3327,28045.96676,5.235751925,2.50352655,3.217389542,10511.51601,148.4231861,44.11,1.938910175,49,1.644736842
上海,24,2017,4574,112,5144,134607,64196,83939,22.78,1457.36,8630.2998,26579.439,391.23001,7.9899998,24,185.06,0.55000001,5.3,81.860001,5.3000002,98,97.900002,99.599998,2.02,0.17,390.95,2466,2087.09,449.64,6.81,47.36,94.58,1.64,77,131,139381,0.890916464,0.142590538,3498,30606.73155,5.458515815,2.60324412,3.403852393,10778.36131,158.5360908,47.22,1.997043919,54,1.701298701
上海,24,2018,4729,108,5293,139029,67791,88005,23.82,1585.74,9495.8896,27016.881,418.35999,6.9400001,24,175.03999,0.50999999,5.4,82.089996,5.4000001,97.800003,98,99.5,2.3800001,0.17,418.12,2475,2301.6,507.92,6.39,45.1,97.2,1.6,74,136,152880,0.891313131,0.149519545,3517,33743.59596,5.617333333,2.739030303,3.555757576,10915.91152,168.9373737,52.1,2.155210643,62,1.837837838
上海,24,2019,5021,106,5597,146454,71247,92875,24.87,1809.0699,10430.53,27559.99,454.94,7.6900001,24,177.16,0.40000001,5.5,82.32,5.5,97.099998,98,99.5,1.8,0.20999999,453.38,2481,2532.68,564.16,6.64,,104.2,1.58,,145,162394,0.892382104,0.162629758,3582,32967.67432,5.903022975,2.871704958,3.743450222,11108.41999,182.7408303,,,,
上海,24,2020,5291,107,5897,152191,74780,97151,26.14,1744.67,10591.59,22564.029,375.13,8.4300003,24,128.63,0.51999998,5.58,82.550003,5.5500002,97.900002,95.400002,99.400002,1.83,0.25,375.6,2488,2634.22,633.7,6.81,,107.7,1.56,,151,167454,0.893086817,0.1628,3722,32564.7508,6.117001608,3.00562701,3.904782958,9069.143489,150.9646302,,,,
上海,24,2021,5656,103,6308,160378,80241,103859,28.1,2149.29,10752.65,26691.369,448.04999,9.1800003,24,135.23,0.47,5.6,82.779999,5.5900002,97.300003,99.599998,99.599998,1.83,0.28,447.2,2489,3326.57,720.32,7.7,,64.43,1.55,,92,189107,0.893129771,0.174473734,3691,33872.47891,6.443471274,3.223824829,4.172719968,10723.73202,179.6705504,,,,
