变量,系数,标准误,t值,p值
const,0.795879414807906,0.4618587908480737,1.7232094107086227,0.08485066253707384
left_0.1099,6.0315252740159915,1.7702034650596765,3.40724972754059,0.0006562105768089506
right_0.1099,17.10954289732147,1.4586300015129332,11.729871783505727,8.959428498540014e-32
老年人口抚养比（%）,-0.04082672644709753,0.008859701405277929,-4.608137969839041,4.06291041954998e-06
基层床位占比,-0.7823054647123888,0.4130039891810269,-1.8941837977489624,0.05820061793452269
每千老年人床位数,5.209429432329281e-05,1.4397775230389527e-05,3.618218335103389,0.00029663810207342074
城镇化率,-0.5392663561599141,0.4027033550104976,-1.339115628043021,0.18053303358629336
人均GDP_元每人,-3.2454335410278444e-06,9.056512931639529e-07,-3.5835354794114047,0.0003389746961693
prov_云南,-0.5718029639830607,0.23322582487347926,-2.4517137598001995,0.014217771124485456
prov_内蒙古,-0.392140814541503,0.14723387059229992,-2.6633872556904126,0.007735833021202574
prov_北京,-0.13560506890896487,0.07180792223962379,-1.8884416186900568,0.05896668854938254
prov_吉林,-0.5718939136665646,0.1760410928814137,-3.248638737160128,0.0011595864562270325
prov_四川,-0.3198825195406741,0.19994777955143617,-1.5998303169872659,0.10963623127207445
prov_天津,-0.12996218382071603,0.0716870249811383,-1.8129108280739872,0.06984557589179288
prov_宁夏,-0.4302393188704975,0.1845866828495343,-2.3308253457331305,0.01976257106604635
prov_安徽,-0.174070299505533,0.19375296125886754,-0.8984136210076442,0.3689650773939148
prov_山东,-0.21973342138089344,0.16251681284553052,-1.3520657803555767,0.17635427301005102
prov_山西,-0.40807197221934177,0.1821359619955144,-2.240479956557902,0.025059780581934726
prov_广东,-0.2815422247809749,0.13332456597328315,-2.1117055414783277,0.03471171343011694
prov_广西,-0.3724019455061575,0.22285165627293232,-1.6710755115504594,0.09470676365707031
prov_新疆,-0.25187075456271646,0.21883549638200545,-1.1509593220792833,0.24974897078705938
prov_江苏,-0.015188117652188422,0.1000160542223654,-0.1518567970940018,0.8792998839383177
prov_江西,-0.37470300376038923,0.19646964280596074,-1.9071801546993041,0.05649726243305564
prov_河北,-0.3213011382171713,0.19414793598544186,-1.65492945668639,0.09793880823440278
prov_河南,-0.3792337207005519,0.21360863434790403,-1.7753670017050647,0.07583730887650822
prov_浙江,-0.28847473748255914,0.1141428229072167,-2.527313852374684,0.011493873664606864
prov_海南,-0.45488705210879593,0.19219969373892742,-2.366741815555062,0.01794544676096849
prov_湖北,-0.35204828791487824,0.16548808536250828,-2.127333137873354,0.03339241326240478
prov_湖南,-0.3260804151400801,0.19338274688782933,-1.686191867618994,0.09175884976938267
prov_甘肃,-0.6750818626132923,0.23117525368902628,-2.9202168131776034,0.003497879389579013
prov_福建,-0.22829269410020434,0.1381696752729946,-1.6522633758033038,0.09848087189316389
prov_西藏,-0.3313803184642054,0.3211305301060657,-1.0319178259219213,0.302110614450426
prov_贵州,-0.4855137883393035,0.23180721149000658,-2.094472321281663,0.0362179262056002
prov_辽宁,-0.40710266623752533,0.13226806279598324,-3.0778606538258635,0.0020849238195684164
prov_重庆,-0.11831045191281721,0.14598168709095943,-0.8104472161573211,0.41768319027274803
prov_陕西,-0.485094942003339,0.1725723906278858,-2.8109649535384778,0.004939316573874664
prov_青海,-0.36363096474108114,0.20626555730172805,-1.7629262466207911,0.07791292965049779
prov_黑龙江,-0.6101544774779598,0.1704283957893803,-3.5801221659799234,0.0003434336060360986
year_2013,-0.021439352900855305,0.026660684857414973,-0.8041561203515937,0.4213068168843096
year_2014,-0.014552465001344314,0.03180683418028257,-0.4575263579789263,0.6472927614485506
year_2015,-0.01623699477351983,0.035674132966168046,-0.45514756557414754,0.649003080127827
year_2016,-0.001696810703023294,0.043242835245953966,-0.0392391177260297,0.9686997462033191
year_2017,0.0005238651024364466,0.0536886918097213,0.009757457013351765,0.9922147992320685
year_2018,0.019699991183554023,0.06487713493532854,0.3036507577468019,0.7613939771472777
year_2019,0.02223775983062089,0.07466635138267987,0.2978283981849864,0.7658341389521097
year_2020,0.04832126633602474,0.07979367459596665,0.605577654879266,0.5447952441456656
year_2021,0.07174901326570979,0.09108654096009311,0.7877015913596336,0.4308712745264557
year_2022,0.076310034896169,0.0981440110459042,0.7775312429454004,0.4368454089294881
year_2023,0.06031894790435346,0.10620735703024371,0.5679356834684905,0.5700786410053152
year_2024,0.03675189453942743,0.11313764279073925,0.32484232155520665,0.7453004120518958
