name_std,country,year,D_Value,local_I,p_value,quadrant,cluster
Portugal,Portugal,2023.0,0.8659009529766388,1.1597555866861402,0.014,1,High-High
Austria,Austria,2023.0,0.8554595173470428,1.1971921738807354,0.005,1,High-High
Norway,Norway,2023.0,0.8548983989762992,1.3470685761593555,0.002,1,High-High
Switzerland,Switzerland,2023.0,0.8514227505764735,1.2656025370182227,0.003,1,High-High
Sweden,Sweden,2023.0,0.849347774492428,1.2170462358529996,0.007,1,High-High
Spain,Spain,2023.0,0.8452897137111378,0.8417840479465354,0.021,1,High-High
Italy,Italy,2023.0,0.8447732260806028,0.9971313584453928,0.011,1,High-High
Denmark,Denmark,2023.0,0.8441547973509754,1.2327689389402678,0.002,1,High-High
Germany,Germany,2023.0,0.8421725681667065,1.2446400481071067,0.001,1,High-High
Iceland,Iceland,2023.0,0.8400227648837404,1.1450803510546086,0.005,1,High-High
Netherlands,Netherlands,2023.0,0.8368692606538343,1.090597589408491,0.003,1,High-High
Belgium,Belgium,2023.0,0.8359372105284432,1.0721198528566398,0.002,1,High-High
Finland,Finland,2023.0,0.8339885843460487,0.8060885757650407,0.049,1,High-High
France,France,2023.0,0.8322820385126551,0.9214018969824236,0.005,1,High-High
Ireland,Ireland,2023.0,0.8289709314077791,1.052432817599083,0.001,1,High-High
Belarus,Belarus,2023.0,0.8253137671658728,0.6670106105732317,0.028,1,High-High
Czechia,Czechia,2023.0,0.8239976137109606,0.8523351907055989,0.017,1,High-High
United Kingdom,United Kingdom,2023.0,0.8174730537904137,0.8626193045910701,0.002,1,High-High
Poland,Poland,2023.0,0.8173503208487787,0.7979381954691263,0.003,1,High-High
Lithuania,Lithuania,2023.0,0.8172376365999885,0.7508621396061047,0.008,1,High-High
Luxembourg,Luxembourg,2023.0,0.8166249957571993,0.8903613609647824,0.003,1,High-High
Slovenia,Slovenia,2023.0,0.8156305208761582,0.7496345127493801,0.011,1,High-High
Croatia,Croatia,2023.0,0.8087279186657147,0.6572593942550747,0.008,1,High-High
Estonia,Estonia,2023.0,0.8082705404560728,0.6347933577369498,0.041,1,High-High
Bulgaria,Bulgaria,2023.0,0.8048590820741178,0.4826561125801772,0.039,1,High-High
Latvia,Latvia,2023.0,0.7990269345015837,0.563319544002992,0.036,1,High-High
North Macedonia,North Macedonia,2023.0,0.7929664161900851,0.41198883492540805,0.045,1,High-High
Serbia,Serbia,2023.0,0.7867274161454101,0.35514826428194235,0.025,1,High-High
Australia,Australia,2023.0,0.8358680150824409,-0.8165028676568191,0.039,4,High-Low
Syrian Arab Republic,Syrian Arab Republic,2023.0,0.7408454309173039,-0.004050917603665738,0.023,2,Low-High
Bolivia,Bolivia,2023.0,0.7343448081624866,-0.05771236808630471,0.025,2,Low-High
Belize,Belize,2023.0,0.7232013827791154,-0.139702714448105,0.016,2,Low-High
South Africa,South Africa,2023.0,0.7177872254070496,0.23366047600434287,0.049,3,Low-Low
Botswana,Botswana,2023.0,0.6874758269375805,0.5840337125869092,0.014,3,Low-Low
Sudan,Sudan,2023.0,0.6824690327104235,0.867640956674045,0.002,3,Low-Low
Senegal,Senegal,2023.0,0.6757413502644585,1.1708630627543108,0.003,3,Low-Low
Namibia,Namibia,2023.0,0.6754464286434955,0.7296341000631694,0.033,3,Low-Low
Eswatini,Eswatini,2023.0,0.6728030978789552,0.8894256486355653,0.005,3,Low-Low
Eritrea,Eritrea,2023.0,0.6651213770066184,0.7223137177814314,0.044,3,Low-Low
Kenya,Kenya,2023.0,0.6402453873990748,1.727130520597959,0.001,3,Low-Low
Malawi,Malawi,2023.0,0.6371087766631061,1.792866348496155,0.001,3,Low-Low
Vanuatu,Vanuatu,2023.0,0.6368968654738247,0.9980742438244061,0.046,3,Low-Low
Gabon,Gabon,2023.0,0.6347694558042958,2.009615189677962,0.001,3,Low-Low
Mauritania,Mauritania,2023.0,0.63466334008146,1.2065190015812486,0.029,3,Low-Low
Burundi,Burundi,2023.0,0.633432014772538,1.6248601872052904,0.005,3,Low-Low
