省份,区域,年份,综合效率_OTE,纯技术效率_PTE,规模效率_SE,规模报酬类型,超效率,代码_x,基层医疗卫生机构数/个,专业公共卫生机构/个,医疗卫生机构数量/个,医疗卫生机构床位数/张,执业医师数/人,注册护士数/人,卫生人员数/万人,医疗卫生机构事业收入/亿元,人均卫生费用/元,诊疗人次数/万人次,入院人数/万人,城乡居民医疗保健支出占消费性支出,代码_y,甲乙类法定报告传染病发病率（1/10w）,甲乙类法定报告传染病死亡率（1/10w）,人口死亡率‰,人口平均预期寿命（岁）,孕产妇死亡率‰,新生儿访视率%,3岁以下儿童系统管理率%,7岁以下儿童健康保健管理率%,围产婴儿死亡率‰,5岁以下儿童低体重患病率%,出院人数（万人）,年末常住人口,卫生总费用,政府卫生支出（亿元）,卫生总费用占GDP比重（%）,农村每万人医疗机构床位数,城市每万人医疗机构床位数,基层医疗卫生机构床位数,每万人拥有农村卫生技术人员数,每万人拥有城市卫生技术人员数,人均GDP_元每人,城镇化率,65岁及以上人口占比,教育水平_每十万人高等学校在校生数,财政支出能力_元每人,每千人床位数,每千人医师数,每千人护士数,每千人诊疗人次,每千人出院人数,城乡床位差,城乡床位比,城乡卫技人员差,城乡卫技人员比
上海,东部,2012,0.9419,1.0,0.9419,IRS,,24,4379,101,4845,109784,51722,63245,18.34,807.81,4588.8599,22085.939,276.73001,5.670000099999999,24,190.71001,0.61000001,5.36,80.720001,5.3600001,98.0,97.5,99.300003,2.6700001,0.06,276.71,2399,1092.35,232.49,5.41,44.82,78.56,17400.0,76.0,105.0,91587,0.892872030012505,0.0901218407008358,3481,17440.6836181742,4.576240100041684,2.155981659024594,2.636306794497707,9206.310546060857,115.3438932888703,33.74,1.752788933511825,29.0,1.381578947368421
上海,东部,2013,1.0,1.0,1.0,CRS,1.0547,24,4439,116,4929,114314,54039,67939,19.23,897.0700099999999,5170.21,23406.631,291.04001,5.3499999,24,173.78,0.63,5.24,80.949997,5.2399998,98.199997,97.599998,99.0,2.4400001,0.07,290.01,2448,1248.68,250.82,5.78,46.99,81.45,17300.0,77.0,111.0,98244,0.895833333333333,0.106411800120409,3421,18499.2238562092,4.66968954248366,2.207475490196078,2.775285947712418,9561.532271241831,118.468137254902,34.46,1.733347520749096,34.0,1.441558441558441
上海,东部,2014,0.9702,1.0,0.9702,IRS,,24,4489,116,4984,117510,57425,71929,20.17,1023.39,5546.9199,25059.711,318.54999,7.880000099999999,24,174.2,0.60000002,5.21,81.18,5.21,98.400002,97.900002,99.599998,2.4300001,0.13,318.54,2467,1345.5,275.29,5.71,45.2,83.4,17100.0,76.0,116.0,105654,0.892987434130523,0.0968080323692492,3348,19957.1949736522,4.763275233076611,2.327725982975274,2.915646534252128,10157.96959870288,129.1203891366032,38.2,1.845132743362832,40.0,1.526315789473684
上海,东部,2015,1.0,1.0,1.0,CRS,1.2403,24,4480,116,5016,122813,59368,75436,20.84,1139.5,6362.02,25616.039,335.06,7.320000200000001,24,186.91,0.44999999,5.07,81.410004,5.0700002,98.099998,98.0,99.5,2.1500001,0.13,334.8,2458,1536.6,319.94,6.12,46.45,86.82,17100.0,77.0,120.0,112981,0.8852725793327908,0.128186203724502,3330,25189.4222945484,4.996460537021969,2.415296989422294,3.06899918633035,10421.4967453214,136.2082994304313,40.36999999999999,1.869106566200215,43.0,1.558441558441559
上海,东部,2016,1.0,1.0,1.0,CRS,1.2394,24,4470,117,5016,129166,61762,79373,21.71,1294.67,7595.98,25931.91,366.60999,7.21,24,184.0,0.60000002,5.0,81.629997,5.0,98.099998,98.0,99.599998,2.1900001,0.15000001,366.16,2467,1838.0,430.73,6.52,46.98,91.09,16700.0,76.0,125.0,125742,0.8901499797324691,0.12963146423618,3327,28045.9667612485,5.235751925415484,2.503526550466153,3.21738954195379,10511.51601134982,148.4231860559384,44.11000000000001,1.938910174542359,49.0,1.644736842105263
上海,东部,2017,1.0,1.0,1.0,CRS,1.1898,24,4574,112,5144,134607,64196,83939,22.78,1457.36,8630.2998,26579.439,391.23001,7.9899998,24,185.06,0.55000001,5.3,81.860001,5.3000002,98.0,97.900002,99.599998,2.02,0.17,390.95,2466,2087.09,449.64,6.81,47.36,94.58,16400.0,77.0,131.0,139381,0.890916463909165,0.142590537677797,3498,30606.7315490673,5.458515815085158,2.603244120032441,3.403852392538524,10778.36131386861,158.5360908353609,47.22,1.997043918918919,54.0,1.701298701298701
上海,东部,2018,1.0,1.0,1.0,CRS,1.1937,24,4729,108,5293,139029,67791,88005,23.82,1585.74,9495.8896,27016.881,418.35999,6.940000099999999,24,175.03999,0.50999999,5.4,82.089996,5.4000001,97.800003,98.0,99.5,2.3800001,0.17,418.12,2475,2301.6,507.92,6.39,45.1,97.2,16000.0,74.0,136.0,152880,0.8913131313131311,0.149519545202998,3517,33743.595959596,5.617333333333334,2.739030303030303,3.555757575757576,10915.91151515152,168.9373737373737,52.1,2.155210643015521,62.0,1.837837837837838
上海,东部,2019,1.0,1.0,1.0,CRS,1.1787,24,5021,106,5597,146454,71247,92875,24.87,1809.0699,10430.53,27559.99,454.94,7.690000099999999,24,177.16,0.40000001,5.5,82.32,5.5,97.099998,98.0,99.5,1.8,0.20999999,453.38,2481,2532.68,564.16,6.64,,104.2,15800.0,,145.0,162394,0.8923821039903259,0.162629757785467,3582,32967.674324869,5.903022974607013,2.871704957678356,3.743450221684804,11108.41999193874,182.7408303103587,,,,
上海,东部,2020,1.0,1.0,1.0,CRS,1.1342,24,5291,107,5897,152191,74780,97151,26.14,1744.67,10591.59,22564.029,375.13,8.430000300000001,24,128.63,0.51999998,5.58,82.550003,5.5500002,97.900002,95.400002,99.400002,1.83,0.25,375.6,2488,2634.22,633.7,6.81,,107.7,15600.0,,151.0,167454,0.8930868167202571,0.1628,3722,32564.7508038585,6.117001607717042,3.005627009646302,3.904782958199357,9069.143488745982,150.9646302250804,,,,
上海,东部,2021,1.0,1.0,1.0,CRS,1.2301,24,5656,103,6308,160378,80241,103859,28.1,2149.29,10752.65,26691.369,448.04999,9.180000300000001,24,135.23,0.47,5.6,82.779999,5.5900002,97.300003,99.599998,99.599998,1.83,0.28,447.2,2489,3326.57,720.32,7.7,,64.43,15500.0,,92.0,189107,0.8931297709923659,0.174473734117201,3691,33872.4789071917,6.443471273603857,3.223824829248694,4.172719967858578,10723.73202089192,179.6705504218562,,,,
