居民健康水平_省份,居民健康水平_代码,居民健康水平_年份,总体健康水平_甲乙类法定报告传染病发病率（1/10w）,总体健康水平_甲乙类法定报告传染病死亡率（1/10w）,总体健康水平_人口死亡率,总体健康水平_人口平均预期寿命（岁）,孕产妇健康水平_系统管理率%,孕产妇健康水平_产后访视率%,孕产妇健康水平_产前检查率%,孕产妇健康水平_孕产妇死亡率%,孕产妇健康水平_住院分娩率%,儿童健康水平_新生儿访视率%,儿童健康水平_3岁以下儿童系统管理率%,儿童健康水平_7岁以下儿童健康保健管理率%,儿童健康水平_难产婴儿死亡率‰,儿童健康水平_5岁以下儿童低体重患病率%
安徽,1,2012,197.97,0.63,6.14,75.66,55,73.6,84.4,6.14,99.7,73.7,67.5,78,5.3,0.69
安徽,1,2013,198.32,0.55,6.06,75.94,73.5,82.9,89.8,6.06,99.9,82.2,78.5,89,4.7,0.64
安徽,1,2014,190.33,0.61,5.89,76.23,76.3,84.9,90.7,5.89,99.9,85,81.7,89.9,4.4,0.72
安徽,1,2015,242.66,0.51,5.94,76.52,85.3,90.1,93,5.94,100,89.4,85.9,90.9,4.2,0.66
安徽,1,2016,205.99,0.7,5.96,76.81,87.2,92,94.1,5.96,100,92.2,87.4,91.9,4.2,0.68
安徽,1,2017,223.71,0.72,5.9,77.1,84.6,90,92.1,5.9,100,90.1,86.2,90.5,3.8,0.63
安徽,1,2018,224.82,0.66,5.96,77.38,86.6,92,93.7,5.96,100,92,87.5,91.5,3.3,0.59
安徽,1,2019,246.83,0.71,6.04,77.67,88.9,94,95.7,6.04,100,94.3,89,92.8,3,0.58
安徽,1,2020,225.08,0.61,7.96,77.96,89.9,94.7,96.3,7.02,100,95.2,89.3,92.7,3.2,0.52
安徽,1,2021,235.01,0.71,8,78.25,91.4,95.5,96.8,8,100,90.7,93.3,93.3,3.2,0.52
安徽,1,2022,244.94,0.81,8.1,78.54,92.9,96.3,97.3,8.98,100,86.2,97.3,93.9,3.2,0.52
安徽,1,2023,234.1,1.03,8.56,78.7,94.4,97.1,97.8,9.96,100,81.7,100,94.5,3.2,0.52
